Date,Open,High,Low,Close,Adj Close,Volume
2021-11-25,29.049999,29.790001,28.559999,29.620001,17.611519,104052200
2021-11-26,28.389999,29.160000,28.070000,28.469999,16.927750,108871800
2021-11-29,29.360001,29.820000,28.809999,29.469999,17.522333,84672200
2021-11-30,29.299999,29.639999,28.860001,29.430000,17.498550,129384600
2021-12-01,29.840000,30.670000,29.480000,29.600000,17.599628,135078600
2021-12-02,26.990000,28.490000,26.200001,28.360001,18.942493,191410300
2021-12-03,28.480000,28.940001,28.219999,28.760000,19.209665,105133000
2021-12-06,28.780001,29.270000,28.680000,28.889999,19.296495,66142300
2021-12-07,29.280001,29.570000,28.799999,29.360001,19.610424,98989300
2021-12-08,29.360001,30.070000,29.219999,29.350000,19.603745,71167700
2021-12-09,29.100000,29.490000,28.790001,29.290001,19.563669,67668200
2021-12-10,29.500000,30.100000,29.480000,29.650000,19.804123,38517500
2021-12-13,29.670000,30.049999,29.290001,29.469999,19.683895,45448700
2021-12-14,29.610001,29.850000,29.010000,29.120001,19.450119,56833800
2021-12-15,29.100000,29.299999,28.590000,29.299999,19.570347,55085100
2021-12-16,29.620001,29.980000,29.500000,29.690001,19.830839,56545700
2021-12-17,29.320000,29.639999,28.780001,28.990000,19.363289,93593700
2021-12-20,28.440001,28.549999,27.680000,28.160000,18.808907,106282500
2021-12-21,28.549999,28.719999,28.120001,28.200001,18.835625,40454500
2021-12-22,28.400000,28.400000,27.969999,28.160000,18.808907,33734500
2021-12-23,28.330000,28.420000,28.150000,28.330000,18.922455,28713600
2021-12-27,28.320000,28.780001,28.150000,28.750000,19.202986,44227900
2021-12-28,29.010000,29.280001,28.700001,28.780001,19.223024,30688100
2021-12-29,28.700001,28.900000,28.420000,28.540001,19.062721,35508400
2021-12-30,28.549999,28.700001,28.389999,28.450001,19.002605,43229100
2022-01-03,28.540001,29.219999,28.530001,29.090000,19.430082,52704700
2022-01-04,29.160000,29.400000,28.910000,29.200001,19.503555,51739200
2022-01-05,29.190001,29.270000,27.940001,28.070000,18.748791,78459800
2022-01-06,28.290001,28.650000,27.840000,28.049999,18.735435,61163100
2022-01-07,28.110001,28.290001,27.820000,28.180000,18.822266,47507600
2022-01-10,27.990000,28.240000,27.719999,28.010000,18.708715,37455200
2022-01-11,28.100000,29.070000,27.850000,28.840000,19.263100,73623800
2022-01-12,28.950001,29.910000,28.950001,29.719999,19.850878,81378200
2022-01-13,29.530001,30.629999,29.500000,30.320000,20.251635,76717500
2022-01-14,30.280001,31.600000,30.240000,31.450001,21.006397,96458800
2022-01-17,31.400000,31.809999,31.250000,31.500000,21.039793,35675900
2022-01-18,31.559999,31.980000,30.969999,31.639999,21.133303,78198800
2022-01-19,31.900000,32.209999,31.440001,31.490000,21.033113,77480200
2022-01-20,31.500000,32.000000,31.110001,31.719999,21.186735,85353100
2022-01-21,31.570000,31.879999,31.530001,31.770000,21.220133,61345400
2022-01-24,31.690001,32.250000,31.040001,31.950001,21.340361,79117100
2022-01-25,31.700001,33.230000,31.580000,32.990002,22.035009,98358500
2022-01-26,33.299999,34.270000,33.299999,33.869999,22.622786,98679900
2022-01-27,34.250000,34.639999,33.169998,33.880001,22.629467,90631000
2022-01-28,33.799999,34.349998,32.220001,32.540001,21.734440,117400500
2022-01-31,32.500000,33.000000,32.070000,32.349998,21.607533,62450300
2022-02-01,32.349998,33.320000,31.950001,33.000000,22.041687,57315200
2022-02-02,33.410000,33.490002,32.360001,32.520000,21.721081,36271700
2022-02-03,32.349998,32.919998,31.620001,32.070000,21.420513,51087800
2022-02-04,32.410000,33.230000,31.879999,32.630001,21.794554,59346800
2022-02-07,32.549999,32.779999,32.130001,32.150002,21.473948,48868100
2022-02-08,31.900000,31.950001,31.260000,31.830000,21.260208,62590000
2022-02-09,31.740000,32.689999,31.650000,31.950001,21.340361,50960500
2022-02-10,32.299999,32.900002,31.940001,32.439999,21.667646,49534600
2022-02-11,32.770000,33.910000,32.630001,33.759998,22.549313,88013400
2022-02-14,33.860001,33.939999,32.820000,33.000000,22.041687,55687000
2022-02-15,32.660000,32.680000,31.889999,32.480000,21.694363,65689000
2022-02-16,32.830002,33.700001,32.770000,32.930000,21.994934,65811600
2022-02-17,32.849998,33.290001,32.549999,32.799999,21.908100,43255200
2022-02-18,32.570000,33.090000,32.270000,33.000000,22.041687,60304700
2022-02-21,33.049999,34.000000,33.000000,33.849998,22.609428,51263800
2022-02-22,34.220001,34.680000,33.209999,33.740002,22.535955,80206700
2022-02-23,34.180000,34.599998,33.799999,34.220001,22.856564,86530100
2022-02-24,34.799999,35.290001,32.680000,33.389999,22.302181,139674100
2022-02-25,33.450001,34.000000,32.900002,34.000000,22.709616,86189100
2022-03-02,35.259998,35.290001,34.389999,34.669998,23.157129,58071800
2022-03-03,34.820000,34.930000,34.160000,34.240002,22.869923,69237400
2022-03-04,34.080002,34.680000,33.820000,34.230000,22.863239,55418000
2022-03-07,34.500000,34.599998,31.629999,31.799999,21.240171,110954100
2022-03-08,32.000000,32.970001,31.510000,32.459999,21.681005,111633500
2022-03-09,32.599998,32.820000,31.740000,32.560001,21.747799,87779300
2022-03-10,32.599998,34.599998,32.520000,33.700001,22.509239,136437700
2022-03-11,33.910000,34.380001,32.070000,32.490002,21.701046,92153700
2022-03-14,32.430000,32.889999,31.520000,31.870001,21.286926,52274100
2022-03-15,31.139999,31.540001,30.469999,31.100000,20.772621,66272000
2022-03-16,31.500000,31.540001,30.370001,30.830000,20.592281,72034900
2022-03-17,31.250000,31.400000,29.500000,30.010000,20.044579,178319300
2022-03-18,30.090000,30.820000,29.860001,30.610001,20.445335,93097100
2022-03-21,30.910000,32.090000,30.639999,31.760000,21.213455,67700800
2022-03-22,31.990000,32.099998,31.350000,31.620001,21.119946,56128600
2022-03-23,31.930000,32.470001,31.690001,32.049999,21.407154,52956100
2022-03-24,32.049999,32.599998,31.670000,32.419998,21.654287,49402800
2022-03-25,32.150002,32.549999,31.920000,32.299999,21.574137,51780100
2022-03-28,32.060001,32.080002,30.980000,31.600000,21.106585,68610500
2022-03-29,32.130001,32.759998,31.920000,32.299999,21.574137,93809000
2022-03-30,32.500000,32.990002,32.380001,32.990002,22.035009,69648400
2022-03-31,32.570000,33.570000,32.500000,33.450001,22.342257,94269500
2022-04-01,33.549999,33.790001,32.910000,33.009998,22.048367,72545400
2022-04-04,32.900002,32.900002,32.250000,32.700001,21.841309,56053000
2022-04-05,32.660000,33.060001,32.389999,32.389999,21.634249,45847200
2022-04-06,32.599998,32.779999,32.040001,32.360001,21.614212,56947100
2022-04-07,32.639999,34.060001,32.500000,34.040001,22.736336,118469400
2022-04-08,34.070000,34.410000,33.849998,34.209999,22.849884,60772700
2022-04-11,33.900002,34.099998,33.779999,33.950001,22.676222,48125400
2022-04-12,34.400002,34.680000,33.799999,33.849998,22.609428,68522800
2022-04-13,34.369999,34.799999,34.099998,34.570000,23.090338,101438800
2022-04-14,31.600000,32.070000,31.160000,31.270000,22.849384,119382100
2022-04-18,31.160000,31.389999,30.469999,30.719999,22.447493,76350600
2022-04-19,31.160000,32.000000,31.120001,31.650000,23.127056,88494100
2022-04-20,31.650000,31.950001,31.330000,31.799999,23.236662,34694700
2022-04-22,31.049999,31.299999,30.320000,30.559999,22.330580,74560900
2022-04-25,29.969999,30.440001,29.540001,30.110001,22.001759,66413900
2022-04-26,30.110001,30.580000,29.889999,30.059999,21.965223,48764100
2022-04-27,30.370001,30.559999,29.950001,30.059999,21.965223,41881300
2022-04-28,30.450001,30.620001,30.250000,30.260000,22.111364,43298500
2022-04-29,30.750000,31.590000,30.280001,30.280001,22.125980,76243900
2022-05-02,30.170000,30.330000,29.330000,29.980000,21.906765,72456200
2022-05-03,30.120001,30.389999,29.820000,30.250000,22.104057,52531000
2022-05-04,30.600000,32.169998,30.400000,32.070000,23.433954,109417000
2022-05-05,31.809999,32.500000,31.020000,32.009998,23.390112,99439900
2022-05-06,32.689999,33.119999,31.900000,33.060001,24.157362,129570200
2022-05-09,32.700001,33.040001,32.060001,32.160000,23.499718,92314500
2022-05-10,32.360001,32.849998,32.200001,32.439999,23.704317,60330600
2022-05-11,32.779999,33.910000,32.689999,33.570000,24.530024,108895400
2022-05-12,33.259998,34.080002,33.259998,33.830002,24.720009,114415900
2022-05-13,34.099998,34.439999,33.900002,34.270000,25.041523,67000100
2022-05-16,34.250000,34.880001,34.009998,34.610001,25.289965,92075300
2022-05-17,35.000000,35.139999,34.139999,34.160000,24.961143,90914700
2022-05-18,34.180000,34.560001,33.430000,33.599998,24.551945,80986200
2022-05-19,33.520000,34.290001,33.330002,34.169998,24.968451,63983100
2022-05-20,34.590000,34.830002,34.250000,34.830002,25.450724,79589900
2022-05-23,35.180000,36.310001,35.150002,36.200001,26.451799,93807400
2022-05-24,31.200001,32.090000,30.709999,31.600000,25.731550,154453100
2022-05-25,31.700001,32.279999,31.260000,32.049999,26.097980,69991900
2022-05-26,32.020000,32.560001,31.950001,32.130001,26.163124,78303600
2022-05-27,32.150002,32.150002,30.570000,30.600000,24.917261,118295600
2022-05-30,30.840000,30.870001,29.120001,29.990000,24.420544,98110100
2022-05-31,30.410000,30.620001,29.809999,30.059999,24.477545,83598000
2022-06-01,29.900000,30.330000,29.850000,30.020000,24.444973,46353200
2022-06-02,29.969999,30.049999,29.549999,29.760000,24.233257,50738300
2022-06-03,29.709999,30.440001,29.530001,30.280001,24.656689,60396900
2022-06-06,30.500000,30.530001,29.910000,30.299999,24.672974,39213900
2022-06-07,30.190001,31.299999,30.160000,30.660000,24.966118,80333700
2022-06-08,30.420000,31.150000,30.330000,30.510000,24.843975,65923900
2022-06-09,30.510000,30.660000,29.980000,30.070000,24.485687,53879000
2022-06-10,30.010000,30.010000,29.059999,29.650000,24.143686,63101700
2022-06-13,29.020000,29.580000,28.670000,29.270000,23.834255,64507100
2022-06-14,29.660000,30.250000,29.240000,29.600000,24.102972,68816900
2022-06-15,30.000000,30.020000,28.840000,29.080000,23.679541,72785700
2022-06-17,28.170000,28.450001,26.129999,27.309999,22.238247,184606500
2022-06-20,26.020000,28.250000,25.910000,27.620001,22.490679,92581800
2022-06-21,27.799999,28.160000,26.690001,27.070000,22.042818,85179500
2022-06-22,26.580000,27.549999,26.389999,26.990000,21.977674,57874700
2022-06-23,26.980000,27.379999,26.120001,26.490000,21.570530,69262300
2022-06-24,26.760000,27.090000,26.180000,26.290001,21.407673,53413400
2022-06-27,26.820000,28.070000,26.660000,27.980000,22.783821,90417700
2022-06-28,28.580000,28.830000,28.020000,28.330000,23.068823,51388000
2022-06-29,28.480000,28.820000,27.840000,28.080000,22.865252,52048800
2022-06-30,27.650000,28.059999,27.400000,27.930000,22.743109,49910100
2022-07-01,28.080000,28.850000,27.520000,28.530001,23.231682,64948200
2022-07-04,28.540001,29.280001,28.540001,29.139999,23.728397,37324200
2022-07-05,28.900000,28.950001,27.549999,28.030001,22.824537,78428500
2022-07-06,28.160000,28.480000,26.910000,27.670000,22.531393,57617200
2022-07-07,28.000000,28.920000,28.000000,28.480000,23.190966,52147300
2022-07-08,28.530001,28.969999,28.370001,28.799999,23.451538,43097800
2022-07-11,28.320000,28.790001,28.250000,28.660000,23.337540,39577600
2022-07-12,28.299999,28.430000,27.969999,28.230000,22.987394,46462000
